sample_index,phone_idx,phone,ref_dur,gen_dur,ratio
0,0,am,0.384,0.256,0.6666666666666666
0,1,ˌasistˈat,0.416,8.32,20.0
0,2,la,0.416,0.16,0.38461538461538464
0,3,ˌeɡzekutˈaɾea,0.416,0.064,0.15384615384615385
0,4,luɪ,0.384,0.192,0.5
0,5,"porkˈaɾʲʲ,",0.416,0.224,0.5384615384615385
0,6,spˈuse,0.416,0.032,0.07692307692307693
0,7,nikˈolo,0.416,0.032,0.07692307692307693
0,8,de,0.416,0.032,0.07692307692307693
0,9,"kˈusa,",0.384,0.384,1.0
0,10,fəkˈɨnduʃʲ,0.416,0.928,2.230769230769231
0,11,vˈɨnt,0.416,0.512,1.2307692307692308
0,12,ku,0.416,0.288,0.6923076923076923
0,13,batˈista.,0.416,0.512,1.2307692307692308
1,0,tʃˌelelˌalte,0.48,0.256,0.5333333333333333
1,1,fˈapte,0.512,1.184,2.3125
1,2,ale,0.512,2.048,4.0
1,3,luɪ,0.48,2.304,4.8
1,4,"abjˈa,",0.512,5.056,9.875
1,5,kˈəɪle,0.512,0.736,1.4375
1,6,luɪ,0.48,0.192,0.4
1,7,ʃi,0.512,0.032,0.0625
1,8,kˌuvintˈele,0.512,0.48,0.9375
1,9,luɪ,0.48,1.44,3.0
1,10,sunt,0.512,0.736,1.4375
1,11,skɾˈise,0.512,0.32,0.625
1,12,ɨn,0.48,0.544,1.1333333333333335
1,13,relatˈaɾea,0.512,0.928,1.8125
1,14,pɾofˈetuluɪ,0.512,0.768,1.5
1,15,ˈido.,0.512,0.448,0.875
2,0,tɾˈebwiʲˌe,0.416,0.224,0.5384615384615385
2,1,sə,0.448,0.64,1.4285714285714286
2,2,fˈi,0.448,1.568,3.5
2,3,fost,0.448,1.6,3.5714285714285716
2,4,ˌamestekˈat,0.448,0.576,1.2857142857142856
2,5,ɨn,0.448,0.48,1.0714285714285714
2,6,"jˈa,",0.448,0.448,1.0
2,7,sə,0.416,0.992,2.3846153846153846
2,8,fˈi,0.448,0.448,1.0
2,9,fost,0.448,1.408,3.142857142857143
2,10,kˌompɾomˈis,0.448,0.96,2.142857142857143
2,11,saʊ,0.448,2.656,5.928571428571429
2,12,sˌəʃʲʲ,0.448,0.736,1.6428571428571428
2,13,fˈi,0.448,0.832,1.857142857142857
2,14,fəkˈut,0.416,0.704,1.6923076923076923
2,15,un,0.448,1.088,2.428571428571429
2,16,"renˈume,",0.448,1.248,2.7857142857142856
2,17,sə,0.448,1.44,3.214285714285714
2,18,fˈi,0.448,0.448,1.0
2,19,pˈus,0.448,0.608,1.357142857142857
2,20,mˈɨn,0.448,0.48,1.0714285714285714
3,0,ɨn,0.416,0.16,0.38461538461538464
3,1,aʒˈunul,0.416,0.608,1.4615384615384617
3,2,ˌuneɪ,0.416,0.096,0.23076923076923078
3,3,"bətˈəliɪ,",0.416,0.384,0.9230769230769231
3,4,ostˈaʃul,0.416,1.056,2.5384615384615388
3,5,tɾˈebwiʲˌe,0.416,1.056,2.5384615384615388
3,6,sˌəʃʲʲ,0.416,0.768,1.8461538461538463
3,7,pəstɾˈeze,0.416,0.32,0.7692307692307693
3,8,kˈapul,0.416,0.416,1.0
3,9,lˈimpedˌe,0.416,0.416,1.0
3,10,ʃi,0.416,0.96,2.307692307692308
3,11,nˈerviɪ,0.416,0.384,0.9230769230769231
3,12,dˌomolˈitsʲʲ.,0.448,0.256,0.5714285714285714
4,0,de,0.384,0.128,0.3333333333333333
4,1,kˈɨte,0.384,0.576,1.4999999999999998
4,2,ˌoɾʲʲ,0.416,0.416,1.0
4,3,nu,0.384,0.32,0.8333333333333334
4,4,kəzˈuse,0.384,0.672,1.75
4,5,nəpˈasta,0.416,0.352,0.8461538461538461
4,6,asˈupɾa,0.384,0.352,0.9166666666666666
4,7,"jˈeɪ,",0.384,0.416,1.0833333333333333
4,8,ʃi,0.416,1.312,3.153846153846154
4,9,nˈumaɪ,0.384,0.8,2.0833333333333335
4,10,din,0.384,0.448,1.1666666666666667
4,11,pɾˈitʃinˌa,0.416,1.632,3.923076923076923
4,12,ˌunuɪ,0.384,1.952,5.083333333333333
4,13,kuvˈɨnt.,0.416,0.992,2.3846153846153846
5,0,atˈɨt,0.416,0.672,1.6153846153846156
5,1,"pˌeleɾˈiniɪ,",0.416,5.472,13.153846153846155
5,2,kˈɨt,0.448,0.384,0.8571428571428571
5,3,ʃi,0.416,0.384,0.9230769230769231
5,4,"pˈaznitʃˌiɪ,",0.448,0.384,0.8571428571428571
5,5,jeɾˌaʊ,0.416,0.704,1.6923076923076923
5,6,ˌistovˈitsʲʲ,0.448,2.976,6.642857142857142
5,7,dˈupə,0.416,0.736,1.7692307692307694
5,8,drumul,0.448,0.448,1.0
5,9,lˈuŋɡ,0.416,0.416,1.0
5,10,pɾin,0.448,1.248,2.7857142857142856
5,11,pustˈiʊl,0.416,0.832,2.0
5,12,ˈars,0.448,0.544,1.2142857142857144
5,13,de,0.416,0.864,2.076923076923077
5,14,sˈɔaɾe.,0.448,1.6,3.5714285714285716
6,0,vor,0.448,0.128,0.2857142857142857
6,1,zətʃˈea,0.48,0.448,0.9333333333333333
6,2,ɨn,0.448,1.024,2.2857142857142856
6,3,lantsˈurʲ,0.48,0.832,1.7333333333333334
6,4,pe,0.448,0.896,2.0
6,5,"pˈaɪe,",0.48,0.864,1.8
6,6,ɨn,0.448,0.032,0.07142857142857142
6,7,rətʃˈeala,0.48,0.128,0.26666666666666666
6,8,ˈumedˌə,0.448,0.448,1.0
6,9,ʃi,0.48,0.48,1.0
6,10,pˌestilentsjˈalə,0.448,0.128,0.2857142857142857
6,11,a,0.48,0.256,0.5333333333333333
6,12,tʃˌelulˈelor,0.448,0.448,1.0
6,13,sˌubteɾˈane.,0.48,1.6,3.3333333333333335
7,0,ɨn,0.256,0.256,1.0
7,1,al,0.288,0.288,1.0
7,2,dˈoɪlea,0.288,0.032,0.11111111111111112
7,3,"rˈɨnd,",0.288,0.032,0.11111111111111112
7,4,de,0.288,0.032,0.11111111111111112
7,5,ˈunde,0.288,0.256,0.888888888888889
7,6,vojˈa,0.288,0.32,1.1111111111111112
7,7,sə,0.288,0.288,1.0
7,8,ʃtˈiʲe,0.288,0.288,1.0
7,9,ˌartileɾˈiʃtiɪ,0.288,0.352,1.2222222222222223
7,10,nˌoʃtɾi,0.256,0.192,0.75
7,11,kə,0.288,0.704,2.4444444444444446
7,12,nu,0.288,0.576,2.0
7,13,aʊ,0.288,0.32,1.1111111111111112
7,14,dea,0.288,0.32,1.1111111111111112
7,15,fˌatʃe,0.288,1.6,5.555555555555556
7,16,ku,0.288,0.704,2.4444444444444446
7,17,o,0.288,4.832,16.77777777777778
7,18,nˈavə,0.288,1.088,3.777777777777778
7,19,piɾˈat?,0.288,0.288,1.0
8,0,un,0.288,0.288,1.0
8,1,mənˈunkʲ,0.288,0.256,0.888888888888889
8,2,de,0.288,0.192,0.6666666666666667
8,3,pɾˌelokˈurʲ,0.288,0.224,0.7777777777777779
8,4,kˌaɾe,0.32,0.032,0.1
8,5,ˌɨi,0.288,0.16,0.5555555555555556
8,6,jeʃˈaʊ,0.288,0.288,1.0
8,7,din,0.288,0.288,1.0
8,8,bˌuzunˈarul,0.288,0.512,1.777777777777778
8,9,mˈik,0.32,1.76,5.5
8,10,te,0.288,0.32,1.1111111111111112
8,11,fətʃˈeaw,0.288,0.384,1.3333333333333335
8,12,sə,0.288,0.544,1.888888888888889
8,13,kɾˈezʲʲ,0.288,0.32,1.1111111111111112
8,14,kə,0.32,0.288,0.8999999999999999
8,15,ˌaɾe,0.288,0.448,1.5555555555555558
8,16,ʃiʲ,0.288,0.352,1.2222222222222223
8,17,un,0.288,0.288,1.0
8,18,tʃˈeas.,0.32,0.16,0.5
9,0,te,0.384,0.32,0.8333333333333334
9,1,fˈak,0.416,0.48,1.153846153846154
9,2,sə,0.416,0.416,1.0
9,3,vˈezʲʲ,0.384,0.384,1.0
9,4,pəmˈɨntul,0.416,0.512,1.2307692307692308
9,5,fˌəɡədwˈintseɪ,0.416,0.448,1.076923076923077
9,6,ʃi,0.384,0.48,1.25
9,7,"jˈaʊ,",0.416,0.416,1.0
9,8,ka,0.416,0.352,0.8461538461538461
9,9,sə,0.384,0.192,0.5
9,10,zˈik,0.416,0.8,1.9230769230769234
9,11,"aʃˈa,",0.416,0.352,0.8461538461538461
9,12,ˌɨnsuʃʲˌʲ,0.384,0.288,0.7499999999999999
9,13,kˈipul,0.416,0.32,0.7692307692307693
9,14,fɾˈantseɪ.,0.416,0.576,1.3846153846153846
10,0,ɨn,1.12,1.184,1.057142857142857
10,1,afˈaɾa,1.12,0.704,0.6285714285714284
10,2,bˈaɾjeɾˌeɪ,1.12,0.384,0.3428571428571428
10,3,se,1.12,0.8,0.7142857142857143
10,4,ˌɨmbulzˈeaw,1.152,0.736,0.638888888888889
10,5,dˌezordonˈat,1.12,1.248,1.114285714285714
10,6,kortˈurile,1.12,0.768,0.6857142857142856
10,7,"sˌolitʃˌitantsʲˈilor,",1.12,0.768,0.6857142857142856
10,8,de,1.152,0.224,0.19444444444444448
10,9,tˈot,1.12,0.32,0.2857142857142857
10,10,"fˈelul,",1.12,0.992,0.8857142857142857
10,11,ale,1.12,0.768,0.6857142857142856
10,12,nˌeɡusˌətoɾʲˈilor,1.152,0.384,0.33333333333333337
11,0,pe,0.8,0.64,0.7999999999999999
11,1,tˌeɾitoɾˈiʊl,0.832,0.928,1.1153846153846154
11,2,sˌemintsˈiʲeɪ,0.832,0.256,0.3076923076923077
11,3,luɪ,0.8,0.16,0.19999999999999998
11,4,zˌabulˈon,0.832,0.608,0.7307692307692308
11,5,leaʊ,0.832,0.288,0.34615384615384615
11,6,dˈat,0.8,0.608,0.7599999999999999
11,7,"joknˈeam,",0.832,0.864,1.0384615384615385
11,8,ku,0.832,1.248,1.5
11,9,pˌəʃunʲˈile,0.832,0.896,1.076923076923077
11,10,din,0.8,1.088,1.36
11,11,"ʒˈur,",0.832,0.416,0.5
11,12,"kˈarta,",0.832,0.032,0.038461538461538464
11,13,ku,0.8,0.672,0.84
11,14,pˌəʃunʲˈile,0.832,0.416,0.5
11,15,din,0.832,0.32,0.38461538461538464
11,16,ʒˈe,0.832,1.248,1.5
12,0,tˌəvəlˈuɡul,0.48,0.544,1.1333333333333335
12,1,de,0.48,0.544,1.1333333333333335
12,2,ˌɨntunˈeɾik,0.48,0.384,0.8
12,3,al,0.48,0.416,0.8666666666666667
12,4,nˈoptsiɪ,0.48,0.512,1.0666666666666667
12,5,se,0.512,0.544,1.0625
12,6,rˌostoɡolʲˈi,0.48,0.544,1.1333333333333335
12,7,spɾˈe,0.48,0.512,1.0666666666666667
12,8,ˈinimˌa,0.48,0.352,0.7333333333333333
12,9,ˌeuɾˈopeɪ,0.48,0.736,1.5333333333333334
12,10,ʃi,0.48,0.736,1.5333333333333334
12,11,spɾˈe,0.512,0.672,1.3125
12,12,apˈele,0.48,1.632,3.4
12,13,otʃˈeanuluɪ,0.48,4.192,8.733333333333334
12,14,fˈərə,0.48,1.824,3.8000000000000003
12,15,de,0.48,0.48,1.0
12,16,sfˈɨ,0.512,0.288,0.5625
13,0,jeɪ,0.448,0.576,1.2857142857142856
13,1,zitʃˈeaw,0.448,0.416,0.9285714285714285
13,2,zˈeul,0.448,8.384,18.714285714285715
13,3,nˌostɾu,0.448,2.048,4.571428571428571
13,4,la,0.48,0.16,0.33333333333333337
13,5,dˈat,0.448,0.128,0.2857142857142857
13,6,ɨn,0.448,0.064,0.14285714285714285
13,7,myɪnʲˈile,0.448,0.032,0.07142857142857142
13,8,nˌɔastɾe,0.48,0.032,0.06666666666666667
13,9,pe,0.448,0.032,0.07142857142857142
13,10,"samsˈon,",0.448,0.224,0.5
13,11,duʃmˈanul,0.448,0.032,0.07142857142857142
13,12,nˈostɾu.,0.48,0.48,1.0
14,0,"""tsiʲa",0.704,0.384,0.5454545454545455
14,1,"spˈus,",0.736,1.184,1.608695652173913
14,2,"kɾˈed,",0.704,0.736,1.0454545454545454
14,3,pˌəɾintˈele,0.736,0.96,1.3043478260869565
14,4,"ˌekonˈom,",0.704,0.672,0.9545454545454547
14,5,kə,0.736,1.024,1.391304347826087
14,6,vɾˈeaw,0.704,0.704,1.0
14,7,sə,0.736,2.048,2.782608695652174
14,8,te,0.704,0.416,0.5909090909090909
14,9,tɾimˈit,0.736,1.248,1.6956521739130435
14,10,ku,0.704,0.704,1.0
14,11,o,0.736,0.864,1.173913043478261
14,12,"skɾisˈɔaɾe.""",0.704,0.576,0.8181818181818181
14,13,"""miʲa",0.736,2.208,3.0000000000000004
14,14,spˈus,0.704,1.856,2.6363636363636367
14,15,pɾˌeakuvjɔˈa,0.736,1.024,1.391304347826087
15,0,"nˈu,",0.384,0.288,0.7499999999999999
15,1,fˈiji,0.384,1.472,3.833333333333333
15,2,"mˈeɪ,",0.416,0.512,1.2307692307692308
15,3,nu,0.384,0.256,0.6666666666666666
15,4,jˌeste,0.416,4.576,11.0
15,5,bˈine,0.384,0.928,2.4166666666666665
15,6,tʃˌeea,0.384,0.288,0.7499999999999999
15,7,tʃe,0.416,0.384,0.9230769230769231
15,8,aˈud,0.384,0.608,1.5833333333333333
15,9,zikˈɨnduse,0.416,3.328,8.0
15,10,dˈespɾe,0.384,2.112,5.5
15,11,voj,0.384,0.448,1.1666666666666667
15,12,ɨn,0.416,0.928,2.230769230769231
15,13,popˈorul,0.384,0.352,0.9166666666666666
15,14,dˈomnuluɪ.,0.416,0.096,0.23076923076923078
16,0,ˌanimˈalele,0.896,0.736,0.8214285714285714
16,1,nu,0.896,1.504,1.6785714285714286
16,2,sunt,0.896,2.336,2.6071428571428568
16,3,ˌalttʃevˈa,0.896,1.568,1.75
16,4,dekˈɨt,0.896,1.376,1.5357142857142856
16,5,imˈadʒinʲˌile,0.896,1.312,1.4642857142857144
16,6,vˌirtutsˈiɪlor,0.928,0.96,1.0344827586206895
16,7,ʃi,0.896,0.736,0.8214285714285714
16,8,vitʃˈiɪlor,0.896,0.992,1.1071428571428572
16,9,"nˈɔastɾe,",0.896,1.536,1.7142857142857142
