sample_index,phone_idx,phone,ref_dur,gen_dur,ratio
0,0,nu,0.32,0.352,1.0999999999999999
0,1,dˈɔar,0.32,0.384,1.2
0,2,kə,0.32,0.32,1.0
0,3,nuʃʲ,0.32,0.256,0.8
0,4,pjˈerdu,0.352,1.056,3.0000000000000004
0,5,"kˌunoʃtˈintsa,",0.32,0.608,1.9
0,6,tʃˈi,0.32,0.416,1.2999999999999998
0,7,kɨnd,0.32,0.032,0.1
0,8,deskˈise,0.352,0.16,0.4545454545454546
0,9,jˈaɾəʃʲˌʲ,0.32,0.032,0.1
0,10,"ˈokiɪ,",0.32,0.096,0.3
0,11,se,0.32,0.064,0.2
0,12,vəzˈu,0.352,0.16,0.4545454545454546
0,13,ˌobliɡˈatə,0.32,0.096,0.3
0,14,sə,0.32,0.352,1.0999999999999999
0,15,konstˈate,0.32,0.32,1.0
0,16,kə,0.352,0.352,1.0
0,17,se,0.32,0.32,1.0
0,18,simtsˈea,0.32,0.352,1.0999999999999999
0,19,maɪ,0.32,0.288,0.8999999999999999
0,20,bˈine.,0.352,0.288,0.8181818181818181
1,0,"altˈeoɾʲʲ,",0.416,0.48,1.153846153846154
1,1,de,0.416,0.16,0.38461538461538464
1,2,kˈum,0.416,0.416,1.0
1,3,se,0.416,0.48,1.153846153846154
1,4,ˈivea,0.416,0.448,1.076923076923077
1,5,kˈipul,0.416,0.448,1.076923076923077
1,6,zˌɨmbitˈor,0.416,0.448,1.076923076923077
1,7,al,0.416,0.48,1.153846153846154
1,8,"ʒˌaponˈezeɪ,",0.416,0.256,0.6153846153846154
1,9,se,0.416,0.352,0.8461538461538461
1,10,rəzvɾˈətea,0.416,0.448,1.076923076923077
1,11,ˌɨmpotɾˈiva,0.416,0.608,1.4615384615384617
1,12,atʃˈeleɪ,0.416,0.448,1.076923076923077
1,13,ˌintɾuzjˈunʲʲ,0.416,0.448,1.076923076923077
1,14,ɨn,0.416,0.352,0.8461538461538461
1,15,ˌaɡonˈiʲa,0.416,0.32,0.7692307692307693
1,16,jˈeɪ.,0.448,0.544,1.2142857142857144
2,0,unˈeoɾʲʲ,0.256,0.288,1.125
2,1,mə,0.288,0.32,1.1111111111111112
2,2,ɡɨndˈesk,0.256,0.32,1.25
2,3,kə,0.288,0.288,1.0
2,4,ar,0.256,0.224,0.875
