sample_index,phone_idx,phone,ref_dur,gen_dur,ratio
0,0,vekˈiʊl,0.448,1.12,2.5
0,1,zˈid,0.448,0.32,0.7142857142857143
0,2,din,0.448,0.288,0.6428571428571428
0,3,pjˈatɾə,0.48,0.416,0.8666666666666667
0,4,maɪ,0.448,0.352,0.7857142857142857
0,5,deɡɾˈabə,0.448,0.352,0.7857142857142857
0,6,dekˈɨt,0.48,0.256,0.5333333333333333
0,7,burlˈanul,0.448,0.384,0.8571428571428571
0,8,"spˈart,",0.448,0.256,0.5714285714285714
0,9,farmˈekul,0.48,0.416,0.8666666666666667
0,10,pjetɾˈelor,0.448,0.416,0.9285714285714285
0,11,din,0.448,0.064,0.14285714285714285
0,12,kˌaldəɾˈɨm,0.48,0.224,0.4666666666666667
0,13,maɪ,0.448,0.16,0.35714285714285715
0,14,deɡɾˈabə,0.448,0.832,1.857142857142857
0,15,dekˈɨt,0.448,0.48,1.0714285714285714
0,16,fˈaptul,0.48,0.544,1.1333333333333335
0,17,kə,0.448,0.448,1.0
0,18,jeɾˌaʊ,0.448,0.512,1.1428571428571428
0,19,"ˌalunekˈɔase,",0.48,0.224,0.4666666666666667
0,20,kitʃˈiʲul,0.448,0.224,0.5
0,21,naˈiv,0.448,0.448,1.0
0,22,al,0.48,0.32,0.6666666666666667
0,23,vˌitɾinˈelor,0.448,0.384,0.8571428571428571
0,24,maɪ,0.448,0.352,0.7857142857142857
0,25,kuɾˈɨnd,0.48,0.224,0.4666666666666667
0,26,dekˈɨt,0.448,0.128,0.2857142857142857
0,27,ridˈikolul,0.448,0.416,0.9285714285714285
0,28,lˈor.,0.48,0.416,0.8666666666666667
1,0,ɨn,0.384,0.416,1.0833333333333333
1,1,lˈok,0.384,0.16,0.4166666666666667
1,2,de,0.416,0.128,0.3076923076923077
1,3,rəspˈuns,0.384,0.064,0.16666666666666666
1,4,un,0.384,0.224,0.5833333333333334
1,5,rˈiktus,0.416,0.192,0.46153846153846156
1,6,dˌuɾeɾˈos,0.384,0.192,0.5
1,7,skˌimonˈosiɪ,0.384,0.096,0.25
1,8,fˈatsa,0.416,0.16,0.38461538461538464
1,9,ˈolɡaj,0.384,0.032,0.08333333333333333
1,10,ʃi,0.384,0.096,0.25
1,11,noj,0.416,0.16,0.38461538461538464
1,12,kˌontinwˈa,0.384,0.032,0.08333333333333333
1,13,tatjˈana,0.384,0.064,0.16666666666666666
1,14,neje,0.416,0.032,0.07692307692307693
1,15,dˈor,0.384,0.032,0.08333333333333333
1,16,de,0.384,0.032,0.08333333333333333
1,17,bərbˈatsiɪ,0.416,0.256,0.6153846153846154
