sample_index,phone_idx,phone,ref_dur,gen_dur,ratio
0,0,ka,0.256,0.8,3.125
0,1,sˌəʃʲʲ,0.288,0.352,1.2222222222222223
0,2,fˈakə,0.288,0.32,1.1111111111111112
0,3,un,0.288,0.256,0.888888888888889
0,4,pˈik,0.288,0.256,0.888888888888889
0,5,de,0.288,0.032,0.11111111111111112
0,6,"kuɾˈaʒ,",0.256,0.192,0.75
0,7,ˈɨʃʲʲ,0.288,0.32,1.1111111111111112
0,8,adˈuse,0.288,0.288,1.0
0,9,amˈinte,0.288,0.32,1.1111111111111112
0,10,kə,0.288,0.256,0.888888888888889
0,11,je,0.288,0.128,0.4444444444444445
0,12,"aktˈor,",0.256,0.096,0.375
0,13,kə,0.288,0.256,0.888888888888889
0,14,je,0.288,0.192,0.6666666666666667
0,15,pˌosesˈorul,0.288,0.288,1.0
0,16,ˌunuɪ,0.288,0.288,1.0
0,17,fˈizik,0.288,0.288,1.0
0,18,pləkˈut.,0.288,0.352,1.2222222222222223
1,0,va,0.288,0.32,1.1111111111111112
1,1,tsˈine,0.288,0.288,1.0
1,2,pjˈept,0.288,0.288,1.0
1,3,ku,0.288,0.256,0.888888888888889
1,4,ˌɨnverʃunˈaɾe,0.32,0.288,0.8999999999999999
1,5,kˈɨt,0.288,0.256,0.888888888888889
1,6,va,0.288,0.288,1.0
1,7,putˌea,0.288,0.32,1.1111111111111112
1,8,de,0.288,0.16,0.5555555555555556
1,9,mˈult,0.32,0.032,0.1
1,10,spɾˈe,0.288,0.192,0.6666666666666667
1,11,a,0.288,0.256,0.888888888888889
1,12,ˌevitˈa,0.288,0.288,1.0
1,13,sˌəʃʲʲ,0.288,0.192,0.6666666666666667
1,14,rˈea,0.32,0.32,1.0
1,15,lˈokul,0.288,0.288,1.0
1,16,ɨn,0.288,0.32,1.1111111111111112
1,17,fˈerma,0.288,0.288,1.0
1,18,fˌamilˈiʲeɪ.,0.32,0.32,1.0
2,0,fˈərə,0.384,0.32,0.8333333333333334
2,1,un,0.416,0.512,1.2307692307692308
2,2,plˈan,0.384,0.32,0.8333333333333334
2,3,ɨn,0.416,0.448,1.076923076923077
2,4,"kˈap,",0.416,0.384,0.9230769230769231
2,5,fˈərə,0.384,0.384,1.0
2,6,o,0.416,0.416,1.0
2,7,stɾˌatedʒˈiʲe,0.384,0.16,0.4166666666666667
2,8,"pɾˌestabilˈitə,",0.416,0.16,0.38461538461538464
2,9,tɾˌebujˈa,0.416,0.416,1.0
2,10,sˌəmʲʲ,0.384,0.384,1.0
2,11,kˌoɾoboɾˈez,0.416,0.384,0.9230769230769231
2,12,ˌipotˈeza.,0.416,0.352,0.8461538461538461
3,0,nˈitʃʲ,0.288,0.224,0.7777777777777779
3,1,nu,0.288,0.288,1.0
3,2,tˌerminˈase,0.288,0.288,1.0
3,3,bˈine,0.288,0.288,1.0
3,4,kə,0.288,0.256,0.888888888888889
3,5,rˈudʲʲ,0.288,0.352,1.2222222222222223
3,6,jˈeʃʲʲ,0.288,0.256,0.888888888888889
3,7,valvˈɨrteʃ,0.288,0.224,0.7777777777777779
3,8,din,0.288,0.288,1.0
3,9,kˈameɾˌa,0.288,0.288,1.0
3,10,luɪ,0.288,0.096,0.33333333333333337
3,11,ˈunde,0.288,0.128,0.4444444444444445
3,12,flˈirta,0.288,0.288,1.0
3,13,ku,0.288,0.224,0.7777777777777779
3,14,nˈoʊl,0.288,0.256,0.888888888888889
3,15,luɪ,0.288,0.288,1.0
3,16,jubˈit.,0.288,0.32,1.1111111111111112
4,0,rəmˈɨn,0.288,0.224,0.7777777777777779
4,1,pe,0.288,0.288,1.0
4,2,fˈir,0.288,0.32,1.1111111111111112
4,3,ku,0.288,0.288,1.0
4,4,"dˈumneavˌɔastɾə,",0.288,0.288,1.0
4,5,ˈastfel,0.288,0.256,0.888888888888889
4,6,persˈɔana,0.288,0.32,1.1111111111111112
4,7,atʃˈeɪa,0.288,0.256,0.888888888888889
4,8,nu,0.288,0.352,1.2222222222222223
4,9,va,0.32,0.352,1.0999999999999999
4,10,putˌea,0.288,0.288,1.0
4,11,sə,0.288,0.288,1.0
4,12,fˈakə,0.288,0.32,1.1111111111111112
4,13,nˈitʃʲ,0.288,0.064,0.22222222222222224
4,14,o,0.288,0.16,0.5555555555555556
4,15,miʃkˈaɾe,0.288,0.224,0.7777777777777779
4,16,fˈərə,0.288,0.288,1.0
4,17,ʃtˈiɾea,0.288,0.288,1.0
4,18,dˈumneavˌɔastɾə.,0.32,0.288,0.8999999999999999
5,0,ˈɨʃʲʲ,0.288,0.384,1.3333333333333335
5,1,tˈerse,0.288,0.256,0.888888888888889
5,2,o,0.288,0.32,1.1111111111111112
5,3,lˈakɾimˌə,0.288,0.32,1.1111111111111112
5,4,ʃi,0.288,0.352,1.2222222222222223
5,5,deklˈaɾə,0.288,0.288,1.0
5,6,ku,0.288,0.288,1.0
5,7,mˈaɾe,0.288,0.288,1.0
5,8,tɾistˈetse,0.32,0.224,0.7
5,9,ka,0.288,0.224,0.7777777777777779
5,10,ʃi,0.288,0.064,0.22222222222222224
5,11,kˈum,0.288,0.128,0.4444444444444445
5,12,ˈɨʃʲʲ,0.288,0.192,0.6666666666666667
5,13,ar,0.288,0.288,1.0
5,14,fˈi,0.288,0.256,0.888888888888889
5,15,tɾədˈat,0.288,0.288,1.0
5,16,sˈotsul,0.288,0.256,0.888888888888889
5,17,defˈunkt.,0.32,0.256,0.8
6,0,ˌɨmʲʲ,0.352,0.96,2.7272727272727275
6,1,dədˈea,0.352,0.352,1.0
6,2,podˈɔabe,0.352,0.384,1.090909090909091
6,3,de,0.384,0.288,0.7499999999999999
6,4,dˈoj,0.352,0.032,0.09090909090909091
6,5,"bˈanʲʲ,",0.352,0.032,0.09090909090909091
6,6,kˈum,0.384,0.288,0.7499999999999999
6,7,fətʃˈeaw,0.352,0.32,0.9090909090909092
6,8,kˌonkistadˈoɾʲʲ,0.352,0.32,0.9090909090909092
6,9,spanjˈolʲʲ,0.352,0.32,0.9090909090909092
6,10,ku,0.384,0.384,1.0
6,11,indjˈeniɪ,0.352,0.352,1.0
6,12,din,0.352,0.384,1.090909090909091
6,13,amˈeɾikˌa.,0.384,0.544,1.4166666666666667
7,0,un,0.288,0.32,1.1111111111111112
7,1,klipˈit,0.32,0.352,1.0999999999999999
7,2,ˌapɾobatˈor,0.288,0.256,0.888888888888889
7,3,din,0.32,0.256,0.8
7,4,tʃˈene,0.288,0.288,1.0
7,5,ˌɨmʲʲ,0.32,0.192,0.6
7,6,ˈarətə,0.288,0.32,1.1111111111111112
7,7,kə,0.32,0.32,1.0
7,8,jeɾˌa,0.288,0.224,0.7777777777777779
7,9,mˌəɡulˈit,0.32,0.256,0.8
7,10,sə,0.288,0.288,1.0
7,11,kˌolaboɾˈeze,0.32,0.352,1.0999999999999999
7,12,ku,0.288,0.224,0.7777777777777779
7,13,un,0.32,0.224,0.7
7,14,zjˈar,0.288,0.288,1.0
7,15,de,0.32,0.288,0.8999999999999999
7,16,pɾˌestidʒˈiʲu.,0.32,0.352,1.0999999999999999
8,0,nu,0.288,0.544,1.888888888888889
8,1,vɾˈeaw,0.32,0.352,1.0999999999999999
8,2,sə,0.32,0.32,1.0
8,3,fˈiɪ,0.32,0.352,1.0999999999999999
8,4,repɾˌezentatˈiv,0.288,0.352,1.2222222222222223
8,5,pˌentɾu,0.32,0.288,0.8999999999999999
8,6,tˈineɾˌiɪ,0.32,0.256,0.8
8,7,de,0.32,0.256,0.8
8,8,"ˈastəzʲˌʲ,",0.288,0.256,0.888888888888889
8,9,tʃˈi,0.32,0.064,0.2
8,10,sə,0.32,0.288,0.8999999999999999
8,11,te,0.32,0.32,1.0
8,12,repɾezˈintsʲʲ,0.288,0.288,1.0
8,13,pe,0.32,0.288,0.8999999999999999
8,14,dˌumneatˌa,0.32,0.192,0.6
8,15,ˈɨnsutsʲˌʲ.,0.32,0.448,1.4
9,0,ɨn,0.288,0.32,1.1111111111111112
9,1,fjekˈaɾe,0.32,0.352,1.0999999999999999
9,2,nˈɔapte,0.288,0.192,0.6666666666666667
9,3,ˌɨmʲʲ,0.32,0.032,0.1
9,4,venˈea,0.32,0.224,0.7
9,5,sə,0.288,0.064,0.22222222222222224
9,6,ɨŋɡˈit,0.32,0.288,0.8999999999999999
9,7,nˌiʃte,0.32,0.288,0.8999999999999999
9,8,sˌomnifˈeɾe,0.288,0.224,0.7777777777777779
9,9,ka,0.32,0.288,0.8999999999999999
9,10,sə,0.288,0.288,1.0
9,11,tˈermin,0.32,0.32,1.0
9,12,o,0.32,0.256,0.8
9,13,dˈatə,0.288,0.352,1.2222222222222223
9,14,ku,0.32,0.32,1.0
9,15,tˈɔate.,0.32,0.352,1.0999999999999999
10,0,din,0.48,0.64,1.3333333333333335
10,1,pˈunkt,0.48,0.576,1.2
10,2,de,0.48,0.448,0.9333333333333333
10,3,vedˈeɾe,0.48,0.384,0.8
10,4,"moɾˈal,",0.48,0.512,1.0666666666666667
10,5,jeɾˌa,0.512,0.384,0.75
10,6,"ˌɨnkɾezətˈor,",0.48,0.192,0.4
10,7,naˈiv,0.48,0.16,0.33333333333333337
10,8,la,0.48,0.416,0.8666666666666667
10,9,lˈimitˌa,0.48,0.384,0.8
10,10,ˌiŋdʒenwitˈətsiɪ.,0.512,0.48,0.9375
11,0,kɨnd,0.352,0.448,1.272727272727273
11,1,tʃˌinevˈa,0.352,0.256,0.7272727272727273
11,2,ˌaɾe,0.352,0.32,0.9090909090909092
11,3,noɾˈokul,0.352,0.32,0.9090909090909092
11,4,sə,0.352,0.32,0.9090909090909092
11,5,ˈaɪbə,0.352,0.32,0.9090909090909092
11,6,dea,0.352,0.384,1.090909090909091
11,7,fˌatʃe,0.352,0.32,0.9090909090909092
11,8,ku,0.352,0.32,0.9090909090909092
11,9,asˈemenˌea,0.352,0.416,1.1818181818181819
11,10,"komˈoɾʲʲ,",0.352,0.032,0.09090909090909091
11,11,atˈuntʃʲ,0.352,0.032,0.09090909090909091
11,12,se,0.352,0.128,0.36363636363636365
11,13,okˈupə,0.352,0.384,1.090909090909091
11,14,de,0.352,0.288,0.8181818181818181
11,15,jˈele.,0.384,0.512,1.3333333333333333
12,0,kjˈar,0.32,0.896,2.8
12,1,dˌakə,0.32,0.32,1.0
12,2,stɾˌəbətˈuse,0.32,0.32,1.0
12,3,lˈumea,0.32,0.352,1.0999999999999999
12,4,ʃi,0.32,0.384,1.2
12,5,vəzˈuse,0.352,0.224,0.6363636363636365
12,6,mˈiɪ,0.32,0.224,0.7
12,7,de,0.32,0.416,1.2999999999999998
12,8,felˈurʲ,0.32,0.32,1.0
12,9,dea,0.32,0.32,1.0
12,10,te,0.32,0.032,0.1
12,11,"ˌɨmbɾəkˈa,",0.352,0.032,0.09090909090909091
12,12,vetʃˈinul,0.32,0.096,0.3
12,13,jeɪ,0.32,0.32,1.0
12,14,se,0.32,0.288,0.8999999999999999
12,15,pəɾˈea,0.32,0.32,1.0
12,16,ˌɨndɾəsɨnˈets.,0.352,0.48,1.3636363636363638
13,0,kəɾˈeɪerul,0.384,0.416,1.0833333333333333
13,1,mˌeu,0.416,0.32,0.7692307692307693
13,2,ˌɨntselesˈese,0.384,0.416,1.0833333333333333
13,3,"ˌimedjˈat,",0.416,0.32,0.7692307692307693
13,4,deʃʲˈiʲ,0.384,0.352,0.9166666666666666
13,5,o,0.416,0.096,0.23076923076923078
13,6,pˈarte,0.384,0.256,0.6666666666666666
13,7,din,0.416,0.352,0.8461538461538461
13,8,mˈine,0.384,0.352,0.9166666666666666
13,9,rˌezistˈa,0.416,0.416,1.0
13,10,ʃi,0.384,0.352,0.9166666666666666
13,11,rˌefuzˈa,0.416,0.352,0.8461538461538461
13,12,sə,0.384,0.384,1.0
13,13,pɾitʃˈeapə.,0.416,0.448,1.076923076923077
14,0,ˌinfinˈitul,0.352,0.32,0.9090909090909092
14,1,"apˈelor,",0.384,0.448,1.1666666666666667
14,2,al,0.384,0.416,1.0833333333333333
14,3,"tʃˈeruluɪ,",0.384,0.288,0.7499999999999999
14,4,al,0.384,0.384,1.0
14,5,"plˈaʒeɪ,",0.352,0.32,0.9090909090909092
14,6,ˌɨi,0.384,0.224,0.5833333333333334
14,7,se,0.384,0.256,0.6666666666666666
14,8,pəɾˈea,0.384,0.352,0.9166666666666666
14,9,un,0.384,0.16,0.4166666666666667
14,10,lˈuks,0.352,0.256,0.7272727272727273
14,11,maɪ,0.384,0.32,0.8333333333333334
14,12,pɾˈesus,0.384,0.32,0.8333333333333334
14,13,de,0.384,0.448,1.1666666666666667
14,14,pˌosibˌilitətsʲˈile,0.384,0.416,1.0833333333333333
14,15,jˈeɪ.,0.384,0.448,1.1666666666666667
15,0,ˈɨnsə,0.384,0.288,0.7499999999999999
15,1,jeɾˌa,0.416,0.48,1.153846153846154
15,2,tʃevˈa,0.384,0.384,1.0
15,3,mˈult,0.416,0.384,0.9230769230769231
15,4,maɪ,0.384,0.352,0.9166666666666666
15,5,ɡɾˈav.,0.416,0.416,1.0
15,6,sˌupɾavˈeɡea,0.384,0.384,1.0
15,7,akˈum,0.416,0.32,0.7692307692307693
15,8,dˈouˌə,0.384,0.256,0.6666666666666666
15,9,skˈivnitʃˌe,0.416,0.192,0.46153846153846156
15,10,ˌizolˈate,0.384,0.352,0.9166666666666666
15,11,ɨn,0.416,0.416,1.0
15,12,lˈəʊntrul,0.384,0.32,0.8333333333333334
15,13,jˈeɪ.,0.416,0.512,1.2307692307692308
16,0,de,0.48,0.416,0.8666666666666667
16,1,"ˈaltfel,",0.512,0.512,1.0
16,2,tˈotsʲʲ,0.512,0.352,0.6875
16,3,slˌuʒitˈoɾiɪ,0.512,0.512,1.0
16,4,meɪ,0.512,0.32,0.625
16,5,jeɾˌaʊ,0.48,0.224,0.4666666666666667
16,6,ˌadunˈatsʲʲ,0.512,0.48,0.9375
16,7,akˈolo,0.512,0.544,1.0625
16,8,pˌentɾu,0.512,0.352,0.6875
16,9,lukɾˈaɾe.,0.512,0.544,1.0625
17,0,jel,0.384,0.448,1.1666666666666667
17,1,nu,0.384,0.352,0.9166666666666666
17,2,a,0.384,0.32,0.8333333333333334
17,3,ˌɨŋɡədwˈit,0.384,0.416,1.0833333333333333
17,4,nˌitʃunˈuɪ,0.416,0.32,0.7692307692307693
17,5,ˈom,0.384,0.32,0.8333333333333334
17,6,səɪ,0.384,0.352,0.9166666666666666
